chr1	84900000	84900000	chr2	3275000	3275000
chr1	84900000	84900000	chr4	115900000	115900000
chr1	84900000	84900000	chr4	118350000	118350000
chr1	84900000	84900000	chr4	119125000	119125000
chr1	84900000	84900000	chr4	121125000	121125000
chr1	84900000	84900000	chr4	123100000	123100000
chr1	84900000	84900000	chr4	143325000	143325000
chr1	84900000	84900000	chr4	145000000	145000000
chr1	84900000	84900000	chr4	147950000	147950000
chr1	84900000	84900000	chr4	156025000	156025000
chr1	84900000	84900000	chr5	96125000	96125000
chr1	84900000	84900000	chr5	104500000	104500000
chr1	84900000	84900000	chr5	108350000	108350000
chr1	84900000	84900000	chr5	108675000	108675000
chr1	84900000	84900000	chr5	110200000	110200000
chr1	84900000	84900000	chr5	145175000	145175000
chr1	84900000	84900000	chr5	146275000	146275000
chr1	84900000	84900000	chr5	146450000	146450000
chr1	84900000	84900000	chr6	122300000	122300000
chr1	84900000	84900000	chr6	124525000	124525000
chr1	84900000	84900000	chr6	128800000	128800000
chr1	84900000	84900000	chr7	3325000	3325000
chr1	84900000	84900000	chr7	3650000	3650000
chr1	84900000	84900000	chr7	4750000	4750000
chr1	84900000	84900000	chr7	6350000	6350000
chr1	84900000	84900000	chr7	6825000	6825000
chr1	84900000	84900000	chr7	7225000	7225000
chr1	84900000	84900000	chr7	12950000	12950000
chr1	84900000	84900000	chr7	15950000	15950000
chr1	84900000	84900000	chr7	16475000	16475000
chr1	84900000	84900000	chr7	16775000	16775000
chr1	84900000	84900000	chr7	17075000	17075000
chr1	84900000	84900000	chr7	19025000	19025000
chr1	84900000	84900000	chr7	19550000	19550000
chr1	84900000	84900000	chr7	24350000	24350000
chr1	84900000	84900000	chr7	24600000	24600000
chr1	84900000	84900000	chr7	24875000	24875000
chr1	84900000	84900000	chr7	25525000	25525000
chr1	84900000	84900000	chr7	27250000	27250000
chr1	84900000	84900000	chr7	27525000	27525000
chr1	84900000	84900000	chr7	27850000	27850000
chr1	84900000	84900000	chr7	28350000	28350000
chr1	84900000	84900000	chr7	28650000	28650000
chr1	84900000	84900000	chr7	29100000	29100000
chr1	84900000	84900000	chr7	29950000	29950000
chr1	84900000	84900000	chr7	30500000	30500000
chr1	84900000	84900000	chr7	31025000	31025000
chr1	84900000	84900000	chr7	34275000	34275000
chr1	84900000	84900000	chr7	34600000	34600000
chr1	84900000	84900000	chr7	35150000	35150000
chr1	84900000	84900000	chr7	35650000	35650000
chr1	84900000	84900000	chr7	36700000	36700000
